,model_type,model_num,epoch,token_category,target_category,category_similarity
258,transformer,3,10,B,A_Illegal,0.09421
259,transformer,3,10,B,A_Legal,-0.05493
260,transformer,3,10,B,A_Omitted,-0.03165
261,transformer,3,10,B,B_Illegal,-0.07742
262,transformer,3,10,B,B_Legal,0.4338
264,transformer,3,20,A,A_Illegal,0.00741
265,transformer,3,20,A,A_Legal,0.38774
267,transformer,3,20,A,B_Illegal,0.06115
268,transformer,3,20,A,B_Legal,-0.07676
269,transformer,3,20,A,B_Omitted,-0.07622
270,transformer,3,20,B,A_Illegal,0.06115
271,transformer,3,20,B,A_Legal,-0.07676
272,transformer,3,20,B,A_Omitted,-0.07622
273,transformer,3,20,B,B_Illegal,-0.02547
274,transformer,3,20,B,B_Legal,0.4686
276,transformer,3,30,A,A_Illegal,0.08527
277,transformer,3,30,A,A_Legal,0.43668
279,transformer,3,30,A,B_Illegal,-0.01354
280,transformer,3,30,A,B_Legal,-0.12501
281,transformer,3,30,A,B_Omitted,-0.14592
282,transformer,3,30,B,A_Illegal,-0.01354
283,transformer,3,30,B,A_Legal,-0.12501
284,transformer,3,30,B,A_Omitted,-0.14592
285,transformer,3,30,B,B_Illegal,0.05862
286,transformer,3,30,B,B_Legal,0.51698
288,transformer,3,40,A,A_Illegal,0.17423
289,transformer,3,40,A,A_Legal,0.49658
291,transformer,3,40,A,B_Illegal,-0.0962
292,transformer,3,40,A,B_Legal,-0.18641
293,transformer,3,40,A,B_Omitted,-0.22065
294,transformer,3,40,B,A_Illegal,-0.0962
295,transformer,3,40,B,A_Legal,-0.18641
296,transformer,3,40,B,A_Omitted,-0.22065
297,transformer,3,40,B,B_Illegal,0.15031
298,transformer,3,40,B,B_Legal,0.57314
300,transformer,3,50,A,A_Illegal,0.25076
301,transformer,3,50,A,A_Legal,0.5511
303,transformer,3,50,A,B_Illegal,-0.16586
304,transformer,3,50,A,B_Legal,-0.24367
305,transformer,3,50,A,B_Omitted,-0.2813
306,transformer,3,50,B,A_Illegal,-0.16586
307,transformer,3,50,B,A_Legal,-0.24367
308,transformer,3,50,B,A_Omitted,-0.2813
309,transformer,3,50,B,B_Illegal,0.23458
310,transformer,3,50,B,B_Legal,0.62886
312,transformer,3,60,A,A_Illegal,0.30672
313,transformer,3,60,A,A_Legal,0.59431
315,transformer,3,60,A,B_Illegal,-0.20931
316,transformer,3,60,A,B_Legal,-0.28237
317,transformer,3,60,A,B_Omitted,-0.31765
318,transformer,3,60,B,A_Illegal,-0.20931
319,transformer,3,60,B,A_Legal,-0.28237
320,transformer,3,60,B,A_Omitted,-0.31765
321,transformer,3,60,B,B_Illegal,0.29013
322,transformer,3,60,B,B_Legal,0.67234
324,transformer,3,70,A,A_Illegal,0.33588
325,transformer,3,70,A,A_Legal,0.62257
327,transformer,3,70,A,B_Illegal,-0.22452
328,transformer,3,70,A,B_Legal,-0.30076
329,transformer,3,70,A,B_Omitted,-0.3334
330,transformer,3,70,B,A_Illegal,-0.22452
331,transformer,3,70,B,A_Legal,-0.30076
332,transformer,3,70,B,A_Omitted,-0.3334
333,transformer,3,70,B,B_Illegal,0.30695
334,transformer,3,70,B,B_Legal,0.69947
336,transformer,3,80,A,A_Illegal,0.34214
337,transformer,3,80,A,A_Legal,0.63892
339,transformer,3,80,A,B_Illegal,-0.22272
340,transformer,3,80,A,B_Legal,-0.30757
341,transformer,3,80,A,B_Omitted,-0.3387
342,transformer,3,80,B,A_Illegal,-0.22272
343,transformer,3,80,B,A_Legal,-0.30757
344,transformer,3,80,B,A_Omitted,-0.3387
345,transformer,3,80,B,B_Illegal,0.29216
346,transformer,3,80,B,B_Legal,0.71626
348,transformer,3,90,A,A_Illegal,0.33298
349,transformer,3,90,A,A_Legal,0.64782
351,transformer,3,90,A,B_Illegal,-0.21168
352,transformer,3,90,A,B_Legal,-0.3086
353,transformer,3,90,A,B_Omitted,-0.33904
354,transformer,3,90,B,A_Illegal,-0.21168
355,transformer,3,90,B,A_Legal,-0.3086
356,transformer,3,90,B,A_Omitted,-0.33904
357,transformer,3,90,B,B_Illegal,0.25862
358,transformer,3,90,B,B_Legal,0.72738
